"Cell","batch","cell_type","ExpLibSize"
"Cell610","Batch1","Group2",53496.5446116328
"Cell611","Batch1","Group1",53164.1513791295
"Cell612","Batch1","Group3",56515.4985177758
"Cell613","Batch1","Group3",63511.1586783921
"Cell614","Batch1","Group4",65702.0178567113
"Cell615","Batch1","Group1",86587.6440502121
"Cell616","Batch1","Group3",78474.6830640179
"Cell617","Batch1","Group3",72103.4388834483
"Cell618","Batch1","Group2",61486.9766840877
"Cell619","Batch1","Group4",63338.625573422
"Cell620","Batch1","Group1",46666.2837262765
"Cell621","Batch1","Group2",60247.8664222831
"Cell622","Batch1","Group1",42311.6256544212
"Cell623","Batch1","Group1",43214.2247874265
"Cell624","Batch1","Group4",91027.389385163
"Cell625","Batch1","Group4",60664.8026419543
"Cell626","Batch1","Group2",52613.3162073554
"Cell627","Batch1","Group1",58336.2297639483
"Cell628","Batch1","Group4",53629.2849131139
"Cell629","Batch1","Group1",48207.6303009349
"Cell630","Batch1","Group2",55718.3053254771
"Cell631","Batch1","Group3",47871.3234377427
"Cell632","Batch1","Group4",72978.9612412392
"Cell633","Batch1","Group1",54972.2834551915
"Cell634","Batch1","Group3",71053.2107424312
"Cell635","Batch1","Group4",48970.3611163486
"Cell636","Batch1","Group3",61246.5313200861
"Cell637","Batch1","Group4",61839.2735599978
"Cell638","Batch1","Group4",60898.3808096175
"Cell639","Batch1","Group4",52971.5201081056
"Cell640","Batch1","Group1",63080.4144337969
"Cell641","Batch1","Group1",51305.8621720228
"Cell642","Batch1","Group1",53502.2617513554
"Cell643","Batch1","Group4",52530.6926614791
"Cell644","Batch1","Group4",63990.8975728915
"Cell645","Batch1","Group3",50140.7017443519
"Cell646","Batch1","Group2",43518.762517671
"Cell647","Batch1","Group4",51872.1473240692
"Cell648","Batch1","Group4",82183.5413247641
"Cell649","Batch1","Group1",65379.471645349
"Cell650","Batch1","Group1",73996.8221920483
"Cell651","Batch1","Group1",54500.9952397212
"Cell652","Batch1","Group1",64670.2613061441
"Cell653","Batch1","Group3",50884.1136607689
"Cell654","Batch1","Group3",63699.0949561104
"Cell655","Batch1","Group4",42111.0101390579
"Cell656","Batch1","Group2",51124.6902884941
"Cell657","Batch1","Group2",53158.682087486
"Cell658","Batch1","Group4",67130.4206608845
"Cell659","Batch1","Group2",47092.6422808749
"Cell660","Batch1","Group2",51945.7280961031
"Cell661","Batch1","Group1",68478.2287975614
"Cell662","Batch1","Group1",56205.4803127332
"Cell663","Batch1","Group1",46563.203142663
"Cell664","Batch1","Group2",66918.5110981238
"Cell665","Batch1","Group1",56429.6747042297
"Cell666","Batch1","Group3",79246.1626545283
"Cell667","Batch1","Group2",53029.2943766537
"Cell668","Batch1","Group1",69567.9666576991
"Cell669","Batch1","Group3",67414.3239217616
"Cell670","Batch1","Group4",51653.3258685518
"Cell671","Batch1","Group3",48306.2010356415
"Cell672","Batch1","Group3",57609.5240666466
"Cell673","Batch1","Group3",80418.3445781892
"Cell674","Batch1","Group3",63088.4457511207
"Cell675","Batch1","Group3",39208.1073960374
"Cell676","Batch1","Group4",53814.0513364077
"Cell677","Batch1","Group1",58090.9719210546
"Cell678","Batch1","Group4",61575.7639977546
"Cell679","Batch1","Group1",70215.3622742825
"Cell680","Batch1","Group1",50676.4876885453
"Cell681","Batch1","Group2",54680.4229352149
"Cell682","Batch1","Group3",67486.363530375
"Cell683","Batch1","Group4",55795.923155974
"Cell684","Batch1","Group2",73429.1331034569
"Cell685","Batch1","Group1",53478.7102816727
"Cell686","Batch1","Group3",62554.4979741507
"Cell687","Batch1","Group2",73024.8767756761
"Cell688","Batch1","Group1",48327.323614149
"Cell689","Batch1","Group2",55056.7147730802
"Cell690","Batch1","Group2",76542.7425060993
"Cell691","Batch1","Group2",49954.7676452272
"Cell692","Batch1","Group2",77420.3403170636
"Cell693","Batch1","Group1",33200.0931038568
"Cell694","Batch1","Group1",67937.2924300011
"Cell695","Batch1","Group2",52531.6842426665
"Cell696","Batch1","Group1",48323.5582868486
"Cell697","Batch1","Group2",44798.2394843826
"Cell698","Batch1","Group4",58145.0617737624
"Cell699","Batch1","Group2",70726.539221124
"Cell700","Batch1","Group3",68356.8961424183
"Cell701","Batch1","Group2",55653.2393972929
"Cell702","Batch1","Group2",49359.389946236
"Cell703","Batch1","Group2",45692.5836756158
"Cell704","Batch1","Group2",58931.3918284604
"Cell705","Batch1","Group1",51833.9733810836
"Cell706","Batch1","Group4",72775.9668020243
"Cell707","Batch1","Group4",45260.1200822632
"Cell708","Batch1","Group1",76524.0191233033
"Cell709","Batch1","Group3",45517.3298260926
"Cell710","Batch1","Group2",47611.2700539749
"Cell711","Batch1","Group3",55535.779569477
"Cell712","Batch1","Group4",55820.7718658169
"Cell713","Batch1","Group2",42118.4183672121
"Cell714","Batch1","Group1",44996.4172056997
"Cell715","Batch1","Group2",62201.9685807961
"Cell716","Batch1","Group1",49799.645350829
"Cell717","Batch1","Group3",65848.9632926177
"Cell718","Batch1","Group2",60956.8700946309
"Cell719","Batch1","Group2",78006.6444569174
"Cell720","Batch1","Group2",42297.8241085932
"Cell721","Batch1","Group4",54192.3235592129
"Cell722","Batch1","Group2",56565.5909863028
"Cell723","Batch1","Group3",80098.3247545173
"Cell724","Batch1","Group3",57209.6912274433
"Cell725","Batch1","Group4",59405.6944545838
"Cell726","Batch1","Group1",51935.2659297751
"Cell727","Batch1","Group1",48946.4068645447
"Cell728","Batch1","Group1",47732.3801324925
"Cell729","Batch1","Group4",73985.7175911193
"Cell730","Batch1","Group1",80010.3149867487
"Cell731","Batch1","Group1",84680.9078994049
"Cell732","Batch1","Group1",56292.4076793506
"Cell733","Batch1","Group4",56686.8524779849
"Cell734","Batch1","Group2",51443.3495653415
"Cell735","Batch1","Group1",49658.7815497273
"Cell736","Batch1","Group1",46415.9977941212
"Cell737","Batch1","Group2",63992.313595252
"Cell738","Batch1","Group4",56854.2639489043
"Cell739","Batch1","Group1",63504.0412271402
"Cell740","Batch1","Group1",117265.767996297
"Cell741","Batch1","Group4",64511.293300296
"Cell742","Batch1","Group1",78032.4487715413
"Cell743","Batch1","Group4",71199.162912099
"Cell744","Batch1","Group2",47899.8771021621
"Cell745","Batch1","Group2",73279.5912777925
"Cell746","Batch1","Group1",60356.2418471467
"Cell747","Batch1","Group2",57288.8387435709
"Cell748","Batch1","Group1",64067.9917161302
"Cell749","Batch1","Group1",55419.3022998464
"Cell750","Batch1","Group1",48934.0147026805
"Cell751","Batch1","Group2",65694.5229443477
"Cell752","Batch1","Group2",51683.0009344496
"Cell753","Batch1","Group3",60456.9230756269
"Cell754","Batch1","Group2",55356.9962280355
"Cell755","Batch1","Group1",72042.6735117447
"Cell756","Batch1","Group2",66059.5023291398
"Cell757","Batch1","Group4",68388.5787303422
"Cell758","Batch1","Group4",60317.7528927053
"Cell759","Batch1","Group4",57053.4844488178
"Cell760","Batch1","Group3",79823.4855273393
"Cell761","Batch1","Group2",64443.8202796692
"Cell762","Batch1","Group4",63405.4670271001
"Cell763","Batch1","Group3",61309.8959830356
"Cell764","Batch1","Group4",82155.6723303682
"Cell765","Batch1","Group2",40320.3816086797
"Cell766","Batch1","Group1",57885.2001609338
"Cell767","Batch1","Group2",55950.7453629034
"Cell768","Batch1","Group2",49661.4949639817
"Cell769","Batch1","Group2",62610.8081125534
"Cell770","Batch1","Group1",54728.4110315249
"Cell771","Batch1","Group3",47253.4112326775
"Cell772","Batch1","Group3",37834.2804650933
"Cell773","Batch1","Group3",74832.7164889412
"Cell774","Batch1","Group2",59515.56788693
"Cell775","Batch1","Group3",87239.322077445
"Cell776","Batch1","Group2",49896.5859778737
"Cell777","Batch1","Group3",55077.6441348695
"Cell778","Batch1","Group1",54272.9456329805
"Cell779","Batch1","Group3",63869.9670339752
"Cell780","Batch1","Group4",73724.5237945183
"Cell781","Batch1","Group3",52693.2310578508
"Cell782","Batch1","Group1",56217.538643217
"Cell783","Batch1","Group1",61028.6245092088
"Cell784","Batch1","Group4",57617.5043367264
"Cell785","Batch1","Group4",68362.5742087295
"Cell786","Batch1","Group2",76832.881969412
"Cell787","Batch1","Group4",51368.9805576785
"Cell788","Batch1","Group3",68585.6147456879
"Cell789","Batch1","Group2",65736.0393662217
"Cell790","Batch1","Group1",48383.3659675132
"Cell791","Batch1","Group1",58023.182698699
"Cell792","Batch1","Group2",53969.6382467288
"Cell793","Batch1","Group3",56888.9656619537
"Cell794","Batch1","Group3",57390.2476805237
"Cell795","Batch1","Group2",40805.7896877264
"Cell796","Batch1","Group1",58699.958968984
"Cell797","Batch1","Group2",60843.9087794585
"Cell798","Batch1","Group3",64745.6751887568
"Cell799","Batch1","Group1",61038.0071438119
"Cell800","Batch1","Group4",58673.9401617971
"Cell801","Batch1","Group4",84579.6746776025
"Cell802","Batch1","Group1",48957.236304249
"Cell803","Batch1","Group1",73669.4330618033
"Cell804","Batch1","Group4",54409.6753693589
"Cell805","Batch1","Group1",68419.5315164117
"Cell806","Batch1","Group4",52079.7089270479
"Cell807","Batch1","Group3",57913.6900158561
"Cell808","Batch1","Group4",67052.0246498678
"Cell809","Batch1","Group1",45346.8433510068
"Cell810","Batch1","Group4",52873.8452016887
"Cell811","Batch1","Group3",54723.080906789
"Cell812","Batch1","Group2",56586.3388349501
"Cell813","Batch1","Group2",65587.8703313333
"Cell814","Batch1","Group4",83806.0185295794
"Cell815","Batch1","Group4",57872.9793274197
"Cell816","Batch1","Group4",65995.5026943025
"Cell817","Batch1","Group4",49300.2920921109
"Cell818","Batch1","Group2",62304.9616409048
"Cell819","Batch1","Group4",74858.294083571
"Cell820","Batch1","Group4",61963.2858662199
"Cell821","Batch1","Group1",63917.289416091
"Cell822","Batch1","Group4",67055.5241093739
"Cell823","Batch1","Group1",75023.1971876951
"Cell824","Batch1","Group3",53335.5313877407
"Cell825","Batch1","Group4",69152.8681993354
"Cell826","Batch1","Group1",56743.5801018503
"Cell827","Batch1","Group4",52538.9934097249
"Cell828","Batch1","Group4",53012.6525164541
"Cell829","Batch1","Group2",48585.5033661319
"Cell830","Batch1","Group1",79610.2370932187
"Cell831","Batch1","Group2",80453.9606107105
"Cell832","Batch1","Group3",83056.6677154879
"Cell833","Batch1","Group4",69859.8401368314
"Cell834","Batch1","Group3",79890.3446921398
"Cell835","Batch1","Group1",38535.1864166619
"Cell836","Batch1","Group1",67335.2178322078
"Cell837","Batch1","Group4",56533.5180075225
"Cell838","Batch1","Group2",54430.7015036609
"Cell839","Batch1","Group1",64747.9563530597
"Cell840","Batch1","Group1",62728.3678685297
"Cell841","Batch1","Group4",106015.355400736
"Cell842","Batch1","Group4",47885.6111534135
"Cell843","Batch1","Group4",41066.0454864225
"Cell844","Batch1","Group2",59656.983304864
"Cell845","Batch1","Group1",52039.3858952278
"Cell846","Batch1","Group1",52117.2113298125
"Cell847","Batch1","Group2",63327.9768876924
"Cell848","Batch1","Group4",49481.4364281021
"Cell849","Batch1","Group4",64450.5046663113
"Cell850","Batch1","Group1",58893.3490669797
"Cell851","Batch1","Group2",53936.7383997866
"Cell852","Batch1","Group3",64003.9646818493
"Cell853","Batch1","Group3",78580.9682054186
"Cell854","Batch1","Group4",48375.4420016935
"Cell855","Batch1","Group3",55513.7344603999
"Cell856","Batch1","Group2",44630.352657032
"Cell857","Batch1","Group3",55639.9322419781
"Cell858","Batch1","Group3",60205.0187509229
"Cell859","Batch1","Group1",67250.4267746825
"Cell860","Batch1","Group3",83122.7087945307
"Cell861","Batch1","Group2",54211.5429498395
"Cell862","Batch1","Group2",52429.1090987476
"Cell863","Batch1","Group3",61466.0219046212
"Cell864","Batch1","Group3",54460.2692395035
"Cell865","Batch1","Group1",38580.3520411782
"Cell866","Batch1","Group3",44369.4543228501
"Cell867","Batch1","Group4",79416.5990863783
"Cell868","Batch1","Group1",62840.1339327102
"Cell869","Batch1","Group3",60370.856266426
"Cell870","Batch1","Group2",73394.6756158196
"Cell871","Batch1","Group1",51336.0456983213
"Cell872","Batch1","Group1",64061.1293451023
"Cell873","Batch1","Group1",77879.3582929335
"Cell874","Batch1","Group2",89796.924735275
"Cell875","Batch1","Group3",85907.8739739413
"Cell876","Batch1","Group4",67500.1645148047
"Cell877","Batch1","Group1",52000.1519827391
"Cell878","Batch1","Group2",72585.3174582201
"Cell879","Batch1","Group3",66092.9386630295
"Cell880","Batch1","Group4",61521.7547180209
"Cell881","Batch1","Group4",55477.0197550547
"Cell882","Batch1","Group3",78067.5273511741
"Cell883","Batch1","Group3",68725.5113960146
"Cell884","Batch1","Group3",94309.934408183
"Cell885","Batch1","Group2",62526.1379581011
"Cell886","Batch1","Group2",63040.7725744474
"Cell887","Batch1","Group2",58230.8926407572
"Cell888","Batch1","Group4",43565.7671235183
"Cell889","Batch1","Group1",39974.3862959299
"Cell890","Batch1","Group4",58413.0411861423
"Cell891","Batch1","Group2",54520.9878926049
"Cell892","Batch1","Group4",73651.6289194745
"Cell893","Batch1","Group2",66742.9483764859
"Cell894","Batch1","Group1",60573.8630344197
"Cell895","Batch1","Group3",49006.1583055257
"Cell896","Batch1","Group4",75835.6518736261
"Cell897","Batch1","Group1",76645.2166299909
"Cell898","Batch1","Group3",50461.6104179574
"Cell899","Batch1","Group1",47935.0421173794
"Cell900","Batch1","Group1",68488.9082134538
"Cell901","Batch1","Group1",40839.7893539201
"Cell902","Batch1","Group3",64202.2198447876
"Cell903","Batch1","Group3",51075.0283604059
"Cell904","Batch1","Group3",49218.2747130817
"Cell905","Batch1","Group1",66087.7045214809
"Cell906","Batch1","Group4",55272.6850026048
"Cell907","Batch1","Group1",51249.1188883588
"Cell908","Batch1","Group2",62364.3396445726
"Cell909","Batch1","Group3",66469.9762770741
"Cell910","Batch1","Group1",73570.7354907233
"Cell911","Batch1","Group2",64130.4252380575
"Cell912","Batch1","Group3",59110.2221215351
"Cell913","Batch1","Group3",49677.0832900567
"Cell914","Batch1","Group2",62263.9984241417
"Cell915","Batch1","Group4",45434.1055015723
"Cell916","Batch1","Group1",37492.4165287811
"Cell917","Batch1","Group2",55298.845569962
"Cell918","Batch1","Group4",75186.9983190236
"Cell919","Batch1","Group2",63461.4054750257
"Cell920","Batch1","Group2",47660.8122026122
"Cell921","Batch1","Group3",72503.4586067762
"Cell922","Batch1","Group2",78574.5027299254
"Cell923","Batch1","Group1",70772.3026151814
"Cell924","Batch1","Group4",62013.4053035119
"Cell925","Batch1","Group2",63929.0800667465
"Cell926","Batch1","Group1",58845.0031315172
"Cell927","Batch1","Group2",102531.492225158
"Cell928","Batch1","Group3",56263.492886322
"Cell929","Batch1","Group1",63167.49128337
"Cell930","Batch1","Group3",65966.5895526178
"Cell931","Batch1","Group4",43159.2097048917
"Cell932","Batch1","Group2",64961.5477239875
"Cell933","Batch1","Group1",38185.3687189499
"Cell934","Batch1","Group1",43614.3928246994
"Cell935","Batch1","Group2",53346.8903472432
"Cell936","Batch1","Group1",54578.3401577929
"Cell937","Batch1","Group4",58925.3267048412
"Cell938","Batch1","Group1",44316.113454404
"Cell939","Batch1","Group4",59674.0141372253
"Cell940","Batch1","Group4",42179.619668104
"Cell941","Batch1","Group4",52074.3812462107
"Cell942","Batch1","Group1",50554.3626931162
"Cell943","Batch1","Group1",46590.3777820545
"Cell944","Batch1","Group1",48217.3695301956
"Cell945","Batch1","Group1",61817.8969394562
"Cell946","Batch1","Group4",63766.5683877401
"Cell947","Batch1","Group4",66304.2161540057
"Cell948","Batch1","Group3",49578.2528247927
"Cell949","Batch1","Group2",54537.9615760306
"Cell950","Batch1","Group4",42883.376713948
"Cell951","Batch1","Group3",56516.2689775689
"Cell952","Batch1","Group2",74881.9968748716
"Cell953","Batch1","Group3",47176.1452610309
"Cell954","Batch1","Group4",59603.0286612648
"Cell955","Batch1","Group2",94660.2089243622
"Cell956","Batch1","Group2",53585.3927503707
"Cell957","Batch1","Group2",53305.3224936736
"Cell958","Batch1","Group4",68834.4388395805
"Cell959","Batch1","Group3",51373.8712384581
"Cell960","Batch1","Group4",77413.3707419308
"Cell961","Batch1","Group3",69545.2277540601
"Cell962","Batch1","Group4",78218.9402406146
"Cell963","Batch1","Group3",58025.9487716356
"Cell964","Batch1","Group3",62220.8475209177
"Cell965","Batch1","Group2",57573.2237689647
"Cell966","Batch1","Group1",62024.4841289111
"Cell967","Batch1","Group4",62134.911327535
"Cell968","Batch1","Group4",48744.0346322603
"Cell969","Batch1","Group2",47266.5777895556
"Cell970","Batch1","Group4",57709.2093283307
"Cell971","Batch1","Group1",38083.8669871495
"Cell972","Batch1","Group2",47077.0487592779
"Cell973","Batch1","Group3",73457.5598828913
"Cell974","Batch1","Group3",59440.9184278084
"Cell975","Batch1","Group3",52541.9048100392
"Cell976","Batch1","Group4",67533.0243512047
"Cell977","Batch1","Group2",66506.0627825575
"Cell978","Batch1","Group3",55834.5519501961
"Cell979","Batch1","Group2",47422.0307337949
"Cell980","Batch1","Group1",60719.1222281186
"Cell981","Batch1","Group2",53203.5793145018
"Cell982","Batch1","Group4",50009.493982761
"Cell983","Batch1","Group4",63581.6312914505
"Cell984","Batch1","Group1",38761.8074660795
"Cell985","Batch1","Group4",49231.8096486371
"Cell986","Batch1","Group3",59453.5881002233
"Cell987","Batch1","Group2",52877.3397403209
"Cell988","Batch1","Group2",72203.5302953968
"Cell989","Batch1","Group2",57247.5644809809
"Cell990","Batch1","Group3",65833.2804117364
"Cell991","Batch1","Group3",60407.3231202323
"Cell992","Batch1","Group4",50634.801634895
"Cell993","Batch1","Group1",39968.3905315268
"Cell994","Batch1","Group2",75968.0653476554
"Cell995","Batch1","Group2",72755.8011511321
"Cell996","Batch1","Group1",51527.1323271687
"Cell997","Batch1","Group4",66408.0243721652
"Cell998","Batch1","Group1",55475.4965353865
"Cell999","Batch1","Group3",51466.8854816918
"Cell1000","Batch1","Group3",56531.9389287738
"Cell1001","Batch2","Group3",66575.9964844428
"Cell1002","Batch2","Group3",54901.6093628601
"Cell1003","Batch2","Group2",70864.0670759028
"Cell1004","Batch2","Group4",62950.73461576
"Cell1005","Batch2","Group1",55308.8788906764
"Cell1006","Batch2","Group1",63449.4698352683
"Cell1007","Batch2","Group1",46972.5327157579
"Cell1008","Batch2","Group1",64761.5123712063
"Cell1009","Batch2","Group4",56049.5162770554
"Cell1010","Batch2","Group4",85158.907358559
"Cell1011","Batch2","Group4",63000.9241043801
"Cell1012","Batch2","Group4",55973.7394603067
"Cell1013","Batch2","Group2",85250.8626513957
"Cell1014","Batch2","Group4",66061.8583775977
"Cell1015","Batch2","Group3",50624.1152919119
"Cell1016","Batch2","Group1",36913.3694539384
"Cell1017","Batch2","Group4",64360.5303286597
"Cell1018","Batch2","Group4",64101.53724371
"Cell1019","Batch2","Group1",58180.0132118104
"Cell1020","Batch2","Group3",64386.9078514271
"Cell1021","Batch2","Group3",97661.8294605937
"Cell1022","Batch2","Group4",52355.4433812992
"Cell1023","Batch2","Group3",51583.7799885728
"Cell1024","Batch2","Group1",63651.2766877351
"Cell1025","Batch2","Group2",64722.4407496518
"Cell1026","Batch2","Group1",31806.9013002975
"Cell1027","Batch2","Group2",43549.9861056679
"Cell1028","Batch2","Group1",59562.1107700392
"Cell1029","Batch2","Group3",53385.9413461476
"Cell1030","Batch2","Group1",52952.7088188152
"Cell1031","Batch2","Group4",51668.1783442213
"Cell1032","Batch2","Group2",60918.6203419338
"Cell1033","Batch2","Group1",67121.0334156489
"Cell1034","Batch2","Group3",59189.4502263675
"Cell1035","Batch2","Group3",55136.5307289016
"Cell1036","Batch2","Group2",51416.162724243
"Cell1037","Batch2","Group4",64988.0115679678
"Cell1038","Batch2","Group3",75356.7856023627
"Cell1039","Batch2","Group1",79052.9844965213
"Cell1040","Batch2","Group1",45142.8666730138
"Cell1041","Batch2","Group1",71103.7752870533
"Cell1042","Batch2","Group3",54265.7206692199
"Cell1043","Batch2","Group1",69628.1042647754
"Cell1044","Batch2","Group1",45216.16598695
"Cell1045","Batch2","Group4",65111.7188501382
"Cell1046","Batch2","Group1",47065.960237094
"Cell1047","Batch2","Group4",46655.8920276793
"Cell1048","Batch2","Group3",76931.8478917929
"Cell1049","Batch2","Group2",43731.1678991684
"Cell1050","Batch2","Group4",72494.5894990751
"Cell1051","Batch2","Group4",54855.9940319233
"Cell1052","Batch2","Group2",65781.4248608322
"Cell1053","Batch2","Group2",65396.8123443752
"Cell1054","Batch2","Group3",70492.4328820994
"Cell1055","Batch2","Group1",56080.8330403798
"Cell1056","Batch2","Group4",54733.2384972468
"Cell1057","Batch2","Group1",34027.0898152352
"Cell1058","Batch2","Group4",63097.5582567441
"Cell1059","Batch2","Group1",53535.8163887473
"Cell1060","Batch2","Group2",60130.2748918013
"Cell1061","Batch2","Group3",52773.190367362
"Cell1062","Batch2","Group1",58269.0821875148
"Cell1063","Batch2","Group3",53558.3568496348
"Cell1064","Batch2","Group4",62091.5338059636
"Cell1065","Batch2","Group4",66126.921939673
"Cell1066","Batch2","Group1",71130.6495105039
"Cell1067","Batch2","Group4",48076.8642869656
"Cell1068","Batch2","Group1",58886.3177180634
"Cell1069","Batch2","Group3",74477.0526493025
"Cell1070","Batch2","Group4",44355.2445310254
"Cell1071","Batch2","Group4",57363.8763923218
"Cell1072","Batch2","Group3",53538.118078297
"Cell1073","Batch2","Group3",69659.0056278115
"Cell1074","Batch2","Group4",70833.9113150174
"Cell1075","Batch2","Group2",62447.6523164411
"Cell1076","Batch2","Group4",53296.6914839804
"Cell1077","Batch2","Group1",52153.6280624552
"Cell1078","Batch2","Group3",56844.9022573667
"Cell1079","Batch2","Group3",50278.9118089522
"Cell1080","Batch2","Group2",64817.7814585796
"Cell1081","Batch2","Group2",51150.6111706381
"Cell1082","Batch2","Group1",57778.2069023551
"Cell1083","Batch2","Group3",62059.6474940134
"Cell1084","Batch2","Group2",57479.7370348303
"Cell1085","Batch2","Group4",61332.6280545815
"Cell1086","Batch2","Group3",63226.3199407625
"Cell1087","Batch2","Group1",53348.089200382
"Cell1088","Batch2","Group3",81938.2696288009
"Cell1089","Batch2","Group4",52306.7326470078
"Cell1090","Batch2","Group2",38696.2956273532
"Cell1091","Batch2","Group2",65705.4968343364
"Cell1092","Batch2","Group3",56138.8108286781
"Cell1093","Batch2","Group1",68509.415597167
"Cell1094","Batch2","Group1",75267.868178627
"Cell1095","Batch2","Group3",64646.0433108668
"Cell1096","Batch2","Group2",55058.4889137464
"Cell1097","Batch2","Group3",51524.3979534914
"Cell1098","Batch2","Group4",50884.5382609784
"Cell1099","Batch2","Group1",52382.6678410414
"Cell1100","Batch2","Group4",65892.6739396512
"Cell1101","Batch2","Group1",58325.4563611604
"Cell1102","Batch2","Group3",45319.631471375
"Cell1103","Batch2","Group3",57136.7339390119
"Cell1104","Batch2","Group3",97353.6367766092
"Cell1105","Batch2","Group3",60322.7125389051
"Cell1106","Batch2","Group1",89662.5746199361
"Cell1107","Batch2","Group1",63085.4697879063
"Cell1108","Batch2","Group1",57400.8067330417
"Cell1109","Batch2","Group4",46282.7505293164
"Cell1110","Batch2","Group4",81169.7641486433
"Cell1111","Batch2","Group2",59329.1884582405
"Cell1112","Batch2","Group2",90053.950192142
"Cell1113","Batch2","Group4",68936.6671773024
"Cell1114","Batch2","Group2",50137.7977637086
"Cell1115","Batch2","Group3",79797.4528236789
"Cell1116","Batch2","Group4",83792.3487493349
"Cell1117","Batch2","Group1",60662.8239076319
"Cell1118","Batch2","Group2",90155.5803164764
"Cell1119","Batch2","Group4",76996.7295801167
"Cell1120","Batch2","Group2",50578.5255885256
"Cell1121","Batch2","Group3",37569.2152140238
"Cell1122","Batch2","Group4",87127.6460551561
"Cell1123","Batch2","Group1",49365.3028814042
"Cell1124","Batch2","Group3",39018.1932256355
"Cell1125","Batch2","Group3",59509.4022113013
"Cell1126","Batch2","Group4",68740.2846756692
"Cell1127","Batch2","Group2",54774.727494358
"Cell1128","Batch2","Group3",81449.7681739786
"Cell1129","Batch2","Group4",67459.3302828611
"Cell1130","Batch2","Group4",54633.3188123657
"Cell1131","Batch2","Group3",69362.299161853
"Cell1132","Batch2","Group4",73022.0883995234
"Cell1133","Batch2","Group3",46867.7010751879
"Cell1134","Batch2","Group4",80039.6549623355
"Cell1135","Batch2","Group4",50043.6370957421
"Cell1136","Batch2","Group4",42979.614627237
"Cell1137","Batch2","Group4",58823.3590212037
"Cell1138","Batch2","Group1",50367.9042861822
"Cell1139","Batch2","Group4",42133.108672672
"Cell1140","Batch2","Group4",43395.7725289004
"Cell1141","Batch2","Group4",60549.5429293069
"Cell1142","Batch2","Group2",49636.1320981236
"Cell1143","Batch2","Group4",60223.7958038143
"Cell1144","Batch2","Group1",45028.2741330598
"Cell1145","Batch2","Group3",69572.5233114254
"Cell1146","Batch2","Group3",82916.7339401371
"Cell1147","Batch2","Group2",52802.279511923
"Cell1148","Batch2","Group2",77406.5468488443
"Cell1149","Batch2","Group1",67935.7809728509
"Cell1150","Batch2","Group1",61374.266426919
"Cell1151","Batch2","Group2",70529.867609621
"Cell1152","Batch2","Group3",57669.5040533568
"Cell1153","Batch2","Group3",73320.4694458586
"Cell1154","Batch2","Group1",61570.832231294
"Cell1155","Batch2","Group4",47838.4464279633
"Cell1156","Batch2","Group3",64287.623599796
"Cell1157","Batch2","Group2",62652.7815620222
"Cell1158","Batch2","Group2",59584.0084288458
"Cell1159","Batch2","Group2",50087.2304980422
"Cell1160","Batch2","Group1",66339.0928586575
"Cell1161","Batch2","Group2",65535.8661725056
"Cell1162","Batch2","Group2",58358.0603884608
"Cell1163","Batch2","Group3",56304.9987708635
"Cell1164","Batch2","Group4",56581.4919006194
"Cell1165","Batch2","Group3",66881.1828384277
"Cell1166","Batch2","Group3",70087.8712845759
"Cell1167","Batch2","Group4",72146.0181462125
"Cell1168","Batch2","Group1",61354.0770271173
"Cell1169","Batch2","Group3",68223.0768268745
"Cell1170","Batch2","Group1",54919.1272522583
"Cell1171","Batch2","Group4",59077.2131924148
"Cell1172","Batch2","Group1",73066.3221958522
"Cell1173","Batch2","Group1",63103.1472005854
"Cell1174","Batch2","Group4",54916.1606297315
"Cell1175","Batch2","Group1",62356.7589771451
"Cell1176","Batch2","Group1",66365.2625554656
"Cell1177","Batch2","Group2",75425.583909426
"Cell1178","Batch2","Group2",71570.0945683548
"Cell1179","Batch2","Group4",71250.9630952874
"Cell1180","Batch2","Group2",76388.3459920351
"Cell1181","Batch2","Group2",63194.00638043
"Cell1182","Batch2","Group2",76294.602760622
"Cell1183","Batch2","Group2",56030.4385598752
"Cell1184","Batch2","Group1",51307.1177779375
"Cell1185","Batch2","Group4",67108.7316577532
"Cell1186","Batch2","Group1",66445.489393959
"Cell1187","Batch2","Group1",53985.449457239
"Cell1188","Batch2","Group4",62094.7504835787
"Cell1189","Batch2","Group4",60447.4654708649
"Cell1190","Batch2","Group4",51460.1383122126
"Cell1191","Batch2","Group1",57146.3639598407
"Cell1192","Batch2","Group1",63437.9292283147
"Cell1193","Batch2","Group2",61676.1267012548
"Cell1194","Batch2","Group4",74233.4187279384
"Cell1195","Batch2","Group2",72316.9543157001
"Cell1196","Batch2","Group3",63640.1212553896
"Cell1197","Batch2","Group3",54160.2726596654
"Cell1198","Batch2","Group2",44389.1117530551
"Cell1199","Batch2","Group3",59487.9775198733
"Cell1200","Batch2","Group1",83349.3199228703
"Cell1201","Batch2","Group1",88176.1999837819
"Cell1202","Batch2","Group2",58432.7072302399
"Cell1203","Batch2","Group4",69475.8685527221
"Cell1204","Batch2","Group1",52775.7181580393
"Cell1205","Batch2","Group2",49266.9329144477
"Cell1206","Batch2","Group1",57851.9919331358
"Cell1207","Batch2","Group3",67819.7978017758
"Cell1208","Batch2","Group4",53376.715396942
"Cell1209","Batch2","Group1",54567.5658318815
"Cell1210","Batch2","Group3",68643.2061909254
