,cell_type,batch,batch_from_meta
10x_CELL_000693,H1975,10x,10x
10x_CELL_000694,H1975,10x,10x
10x_CELL_000695,H1975,10x,10x
10x_CELL_000696,H1975,10x,10x
10x_CELL_000697,H2228,10x,10x
10x_CELL_000698,H2228,10x,10x
10x_CELL_000700,H2228,10x,10x
10x_CELL_000701,HCC827,10x,10x
10x_CELL_000702,H2228,10x,10x
10x_CELL_000703,H1975,10x,10x
10x_CELL_000704,H2228,10x,10x
10x_CELL_000705,HCC827,10x,10x
10x_CELL_000706,HCC827,10x,10x
10x_CELL_000707,H1975,10x,10x
10x_CELL_000708,H1975,10x,10x
10x_CELL_000709,H2228,10x,10x
10x_CELL_000710,H1975,10x,10x
10x_CELL_000711,H1975,10x,10x
10x_CELL_000712,HCC827,10x,10x
10x_CELL_000714,H2228,10x,10x
10x_CELL_000715,H2228,10x,10x
10x_CELL_000716,H1975,10x,10x
10x_CELL_000717,H1975,10x,10x
10x_CELL_000718,H1975,10x,10x
10x_CELL_000719,H1975,10x,10x
10x_CELL_000720,H2228,10x,10x
10x_CELL_000721,H2228,10x,10x
10x_CELL_000722,H2228,10x,10x
10x_CELL_000723,H1975,10x,10x
10x_CELL_000724,H1975,10x,10x
10x_CELL_000725,H1975,10x,10x
10x_CELL_000726,H2228,10x,10x
10x_CELL_000727,HCC827,10x,10x
10x_CELL_000728,H1975,10x,10x
10x_CELL_000729,H2228,10x,10x
10x_CELL_000730,H1975,10x,10x
10x_CELL_000731,H2228,10x,10x
10x_CELL_000732,H2228,10x,10x
10x_CELL_000733,HCC827,10x,10x
10x_CELL_000734,H2228,10x,10x
10x_CELL_000735,H1975,10x,10x
10x_CELL_000736,HCC827,10x,10x
10x_CELL_000737,H2228,10x,10x
10x_CELL_000738,H1975,10x,10x
10x_CELL_000739,H1975,10x,10x
10x_CELL_000740,H2228,10x,10x
10x_CELL_000741,H2228,10x,10x
10x_CELL_000742,HCC827,10x,10x
10x_CELL_000743,H1975,10x,10x
10x_CELL_000744,H2228,10x,10x
10x_CELL_000746,H1975,10x,10x
10x_CELL_000747,H1975,10x,10x
10x_CELL_000748,H1975,10x,10x
10x_CELL_000749,H1975,10x,10x
10x_CELL_000750,HCC827,10x,10x
10x_CELL_000751,H2228,10x,10x
10x_CELL_000752,H2228,10x,10x
10x_CELL_000753,H2228,10x,10x
10x_CELL_000754,H2228,10x,10x
10x_CELL_000755,HCC827,10x,10x
10x_CELL_000756,HCC827,10x,10x
10x_CELL_000757,H1975,10x,10x
10x_CELL_000758,H2228,10x,10x
10x_CELL_000759,H1975,10x,10x
10x_CELL_000760,H2228,10x,10x
10x_CELL_000761,H2228,10x,10x
10x_CELL_000762,HCC827,10x,10x
10x_CELL_000763,H2228,10x,10x
10x_CELL_000764,H2228,10x,10x
10x_CELL_000765,H2228,10x,10x
10x_CELL_000766,HCC827,10x,10x
10x_CELL_000767,H1975,10x,10x
10x_CELL_000768,H2228,10x,10x
10x_CELL_000770,H2228,10x,10x
10x_CELL_000771,H1975,10x,10x
10x_CELL_000772,H2228,10x,10x
10x_CELL_000774,H2228,10x,10x
10x_CELL_000775,H2228,10x,10x
10x_CELL_000776,H2228,10x,10x
10x_CELL_000777,H2228,10x,10x
10x_CELL_000778,H1975,10x,10x
10x_CELL_000779,HCC827,10x,10x
10x_CELL_000780,H2228,10x,10x
10x_CELL_000781,H2228,10x,10x
10x_CELL_000782,H2228,10x,10x
10x_CELL_000783,H1975,10x,10x
10x_CELL_000784,H2228,10x,10x
10x_CELL_000785,H2228,10x,10x
10x_CELL_000786,H2228,10x,10x
10x_CELL_000787,HCC827,10x,10x
10x_CELL_000788,H1975,10x,10x
10x_CELL_000789,H1975,10x,10x
10x_CELL_000790,H1975,10x,10x
10x_CELL_000791,H2228,10x,10x
10x_CELL_000792,H2228,10x,10x
10x_CELL_000793,H1975,10x,10x
10x_CELL_000794,H2228,10x,10x
10x_CELL_000795,H2228,10x,10x
10x_CELL_000796,H2228,10x,10x
10x_CELL_000797,H2228,10x,10x
10x_CELL_000798,H1975,10x,10x
10x_CELL_000799,H1975,10x,10x
10x_CELL_000800,HCC827,10x,10x
10x_CELL_000801,HCC827,10x,10x
10x_CELL_000802,H1975,10x,10x
10x_CELL_000803,H1975,10x,10x
10x_CELL_000804,H2228,10x,10x
10x_CELL_000805,H2228,10x,10x
10x_CELL_000806,H2228,10x,10x
10x_CELL_000807,H1975,10x,10x
10x_CELL_000808,H1975,10x,10x
10x_CELL_000809,H2228,10x,10x
10x_CELL_000810,H2228,10x,10x
10x_CELL_000811,H1975,10x,10x
10x_CELL_000812,H1975,10x,10x
10x_CELL_000813,H1975,10x,10x
10x_CELL_000814,H2228,10x,10x
10x_CELL_000815,H1975,10x,10x
10x_CELL_000816,H2228,10x,10x
10x_CELL_000817,HCC827,10x,10x
10x_CELL_000818,H2228,10x,10x
10x_CELL_000819,H2228,10x,10x
10x_CELL_000821,H1975,10x,10x
10x_CELL_000823,H1975,10x,10x
10x_CELL_000824,H2228,10x,10x
10x_CELL_000825,H2228,10x,10x
10x_CELL_000826,HCC827,10x,10x
10x_CELL_000827,HCC827,10x,10x
10x_CELL_000828,H2228,10x,10x
10x_CELL_000829,H1975,10x,10x
10x_CELL_000831,H2228,10x,10x
10x_CELL_000832,H2228,10x,10x
10x_CELL_000833,H2228,10x,10x
10x_CELL_000834,H2228,10x,10x
10x_CELL_000835,H2228,10x,10x
10x_CELL_000836,H1975,10x,10x
10x_CELL_000837,H2228,10x,10x
10x_CELL_000838,H2228,10x,10x
10x_CELL_000840,H2228,10x,10x
10x_CELL_000841,H1975,10x,10x
10x_CELL_000842,H1975,10x,10x
10x_CELL_000843,H2228,10x,10x
10x_CELL_000844,H1975,10x,10x
10x_CELL_000845,H1975,10x,10x
10x_CELL_000848,H2228,10x,10x
10x_CELL_000849,H2228,10x,10x
10x_CELL_000850,H1975,10x,10x
10x_CELL_000851,H2228,10x,10x
10x_CELL_000852,H1975,10x,10x
10x_CELL_000853,H2228,10x,10x
10x_CELL_000854,H1975,10x,10x
10x_CELL_000855,HCC827,10x,10x
10x_CELL_000856,H2228,10x,10x
10x_CELL_000857,H2228,10x,10x
10x_CELL_000858,H1975,10x,10x
10x_CELL_000859,H1975,10x,10x
10x_CELL_000860,H2228,10x,10x
10x_CELL_000861,HCC827,10x,10x
10x_CELL_000862,HCC827,10x,10x
10x_CELL_000864,H2228,10x,10x
10x_CELL_000865,HCC827,10x,10x
10x_CELL_000867,H2228,10x,10x
10x_CELL_000869,H1975,10x,10x
10x_CELL_000870,H1975,10x,10x
10x_CELL_000871,H2228,10x,10x
10x_CELL_000874,H1975,10x,10x
10x_CELL_000875,H2228,10x,10x
10x_CELL_000878,H2228,10x,10x
10x_CELL_000879,H1975,10x,10x
10x_CELL_000880,H1975,10x,10x
10x_CELL_000881,H2228,10x,10x
10x_CELL_000882,H1975,10x,10x
10x_CELL_000883,HCC827,10x,10x
10x_CELL_000885,H1975,10x,10x
10x_CELL_000886,H1975,10x,10x
10x_CELL_000887,H2228,10x,10x
10x_CELL_000889,H1975,10x,10x
10x_CELL_000891,H1975,10x,10x
10x_CELL_000892,HCC827,10x,10x
10x_CELL_000893,H2228,10x,10x
10x_CELL_000894,HCC827,10x,10x
10x_CELL_000895,H1975,10x,10x
10x_CELL_000897,H2228,10x,10x
10x_CELL_000898,H1975,10x,10x
10x_CELL_000900,H2228,10x,10x
10x_CELL_000901,H1975,10x,10x
10x_CELL_000902,H2228,10x,10x
10x_CELL_000903,H2228,10x,10x
10x_CELL_000905,H2228,10x,10x
10x_CELL_000906,HCC827,10x,10x
10x_CELL_000907,HCC827,10x,10x
10x_CELL_000908,H2228,10x,10x
10x_CELL_000909,H2228,10x,10x
10x_CELL_000910,H1975,10x,10x
10x_CELL_000912,H2228,10x,10x
10x_CELL_000913,H1975,10x,10x
10x_CELL_000914,H1975,10x,10x
10x_CELL_000917,H1975,10x,10x
10x_CELL_000918,HCC827,10x,10x
10x_CELL_000921,H2228,10x,10x
10x_CELL_000922,H1975,10x,10x
10x_CELL_000923,H2228,10x,10x
10x_CELL_000926,H1975,10x,10x
10x_CELL_000927,HCC827,10x,10x
10x_CELL_000929,H1975,10x,10x
10x_CELL_000930,H2228,10x,10x
10x_CELL_000931,H1975,10x,10x
10x_CELL_000932,H1975,10x,10x
10x_CELL_000933,HCC827,10x,10x
10x_CELL_000934,H2228,10x,10x
10x_CELL_000935,HCC827,10x,10x
10x_CELL_000939,H1975,10x,10x
10x_CELL_000943,H1975,10x,10x
10x_CELL_000946,H2228,10x,10x
10x_CELL_000955,HCC827,10x,10x
10x_CELL_000965,HCC827,10x,10x
celseq2_A1,H1975,celseq2,celseq2
celseq2_A10,H2228,celseq2,celseq2
celseq2_A11,HCC827,celseq2,celseq2
celseq2_A13,H2228,celseq2,celseq2
celseq2_A14,HCC827,celseq2,celseq2
celseq2_A15,H1975,celseq2,celseq2
celseq2_A16,H2228,celseq2,celseq2
celseq2_A18,HCC827,celseq2,celseq2
celseq2_A2,H2228,celseq2,celseq2
celseq2_A20,H1975,celseq2,celseq2
celseq2_A21,H2228,celseq2,celseq2
celseq2_A3,HCC827,celseq2,celseq2
celseq2_A4,H1975,celseq2,celseq2
celseq2_A5,H1975,celseq2,celseq2
celseq2_A6,HCC827,celseq2,celseq2
celseq2_A7,HCC827,celseq2,celseq2
celseq2_A8,H1975,celseq2,celseq2
celseq2_B1,H1975,celseq2,celseq2
celseq2_B10,HCC827,celseq2,celseq2
celseq2_B11,HCC827,celseq2,celseq2
celseq2_B12,HCC827,celseq2,celseq2
celseq2_B13,H1975,celseq2,celseq2
celseq2_B14,HCC827,celseq2,celseq2
celseq2_B16,H1975,celseq2,celseq2
celseq2_B17,H2228,celseq2,celseq2
celseq2_B18,H2228,celseq2,celseq2
celseq2_B19,H1975,celseq2,celseq2
celseq2_B2,HCC827,celseq2,celseq2
celseq2_B20,H1975,celseq2,celseq2
celseq2_B21,H2228,celseq2,celseq2
celseq2_B22,H2228,celseq2,celseq2
celseq2_B24,H1975,celseq2,celseq2
celseq2_B3,HCC827,celseq2,celseq2
celseq2_B4,H2228,celseq2,celseq2
celseq2_B5,HCC827,celseq2,celseq2
celseq2_B7,HCC827,celseq2,celseq2
celseq2_B8,H1975,celseq2,celseq2
celseq2_B9,HCC827,celseq2,celseq2
celseq2_C10,H1975,celseq2,celseq2
celseq2_C11,H2228,celseq2,celseq2
celseq2_C12,HCC827,celseq2,celseq2
celseq2_C13,H2228,celseq2,celseq2
celseq2_C14,H1975,celseq2,celseq2
celseq2_C15,H1975,celseq2,celseq2
celseq2_C16,HCC827,celseq2,celseq2
celseq2_C17,H2228,celseq2,celseq2
celseq2_C18,H1975,celseq2,celseq2
celseq2_C19,H2228,celseq2,celseq2
celseq2_C21,H2228,celseq2,celseq2
celseq2_C22,H2228,celseq2,celseq2
celseq2_C23,H1975,celseq2,celseq2
celseq2_C24,HCC827,celseq2,celseq2
celseq2_C6,H1975,celseq2,celseq2
celseq2_C8,H2228,celseq2,celseq2
celseq2_D1,H2228,celseq2,celseq2
celseq2_D10,H2228,celseq2,celseq2
celseq2_D11,H2228,celseq2,celseq2
celseq2_D14,H1975,celseq2,celseq2
celseq2_D15,H2228,celseq2,celseq2
celseq2_D16,H1975,celseq2,celseq2
celseq2_D17,H1975,celseq2,celseq2
celseq2_D18,H2228,celseq2,celseq2
celseq2_D19,HCC827,celseq2,celseq2
celseq2_D2,H2228,celseq2,celseq2
celseq2_D20,H1975,celseq2,celseq2
celseq2_D21,HCC827,celseq2,celseq2
celseq2_D22,H2228,celseq2,celseq2
celseq2_D3,H2228,celseq2,celseq2
celseq2_D4,H1975,celseq2,celseq2
celseq2_D5,HCC827,celseq2,celseq2
celseq2_D6,H1975,celseq2,celseq2
celseq2_D7,HCC827,celseq2,celseq2
celseq2_D8,H1975,celseq2,celseq2
celseq2_D9,H1975,celseq2,celseq2
celseq2_E11,H1975,celseq2,celseq2
celseq2_E12,H1975,celseq2,celseq2
celseq2_E13,H1975,celseq2,celseq2
celseq2_E14,H2228,celseq2,celseq2
celseq2_E16,HCC827,celseq2,celseq2
celseq2_E17,H1975,celseq2,celseq2
celseq2_E18,H2228,celseq2,celseq2
celseq2_E19,HCC827,celseq2,celseq2
celseq2_E20,H2228,celseq2,celseq2
celseq2_E22,H2228,celseq2,celseq2
celseq2_E23,H2228,celseq2,celseq2
celseq2_E24,H2228,celseq2,celseq2
celseq2_E4,HCC827,celseq2,celseq2
celseq2_E5,H1975,celseq2,celseq2
celseq2_E6,HCC827,celseq2,celseq2
celseq2_E8,H2228,celseq2,celseq2
celseq2_E9,H2228,celseq2,celseq2
celseq2_F1,H1975,celseq2,celseq2
celseq2_F10,HCC827,celseq2,celseq2
celseq2_F11,HCC827,celseq2,celseq2
celseq2_F12,H2228,celseq2,celseq2
celseq2_F13,H2228,celseq2,celseq2
celseq2_F14,HCC827,celseq2,celseq2
celseq2_F17,HCC827,celseq2,celseq2
celseq2_F18,H1975,celseq2,celseq2
celseq2_F19,H1975,celseq2,celseq2
celseq2_F2,HCC827,celseq2,celseq2
celseq2_F20,H1975,celseq2,celseq2
celseq2_F21,HCC827,celseq2,celseq2
celseq2_F22,H1975,celseq2,celseq2
celseq2_F23,H2228,celseq2,celseq2
celseq2_F24,H2228,celseq2,celseq2
celseq2_F3,H1975,celseq2,celseq2
celseq2_F4,H1975,celseq2,celseq2
celseq2_F5,H2228,celseq2,celseq2
celseq2_F6,H1975,celseq2,celseq2
celseq2_F7,HCC827,celseq2,celseq2
celseq2_F8,H1975,celseq2,celseq2
celseq2_G10,HCC827,celseq2,celseq2
celseq2_G11,HCC827,celseq2,celseq2
celseq2_G12,HCC827,celseq2,celseq2
celseq2_G13,HCC827,celseq2,celseq2
celseq2_G14,H1975,celseq2,celseq2
celseq2_G15,H1975,celseq2,celseq2
celseq2_G16,H1975,celseq2,celseq2
celseq2_G17,H2228,celseq2,celseq2
celseq2_G18,H2228,celseq2,celseq2
celseq2_G19,H1975,celseq2,celseq2
celseq2_G20,H1975,celseq2,celseq2
celseq2_G21,HCC827,celseq2,celseq2
celseq2_G22,H1975,celseq2,celseq2
celseq2_G23,H1975,celseq2,celseq2
celseq2_G24,HCC827,celseq2,celseq2
celseq2_G6,HCC827,celseq2,celseq2
celseq2_G7,H1975,celseq2,celseq2
celseq2_G8,H2228,celseq2,celseq2
celseq2_G9,H1975,celseq2,celseq2
celseq2_H1,H2228,celseq2,celseq2
celseq2_H10,HCC827,celseq2,celseq2
celseq2_H11,H1975,celseq2,celseq2
celseq2_H12,H1975,celseq2,celseq2
celseq2_H13,H2228,celseq2,celseq2
celseq2_H15,H1975,celseq2,celseq2
celseq2_H17,H2228,celseq2,celseq2
celseq2_H18,H1975,celseq2,celseq2
celseq2_H19,H1975,celseq2,celseq2
celseq2_H2,H2228,celseq2,celseq2
celseq2_H20,HCC827,celseq2,celseq2
celseq2_H21,HCC827,celseq2,celseq2
celseq2_H22,H1975,celseq2,celseq2
celseq2_H23,H1975,celseq2,celseq2
celseq2_H3,H2228,celseq2,celseq2
celseq2_H4,H1975,celseq2,celseq2
celseq2_H5,H2228,celseq2,celseq2
celseq2_H6,H1975,celseq2,celseq2
celseq2_H7,HCC827,celseq2,celseq2
celseq2_H8,H2228,celseq2,celseq2
celseq2_H9,H1975,celseq2,celseq2
celseq2_I10,H1975,celseq2,celseq2
celseq2_I11,H1975,celseq2,celseq2
celseq2_I12,H1975,celseq2,celseq2
celseq2_I13,HCC827,celseq2,celseq2
celseq2_I14,H1975,celseq2,celseq2
celseq2_I15,H1975,celseq2,celseq2
celseq2_I16,H2228,celseq2,celseq2
celseq2_I18,HCC827,celseq2,celseq2
celseq2_I20,H1975,celseq2,celseq2
celseq2_I21,HCC827,celseq2,celseq2
celseq2_I22,H2228,celseq2,celseq2
celseq2_I23,H1975,celseq2,celseq2
celseq2_I24,HCC827,celseq2,celseq2
celseq2_I7,H2228,celseq2,celseq2
celseq2_I8,HCC827,celseq2,celseq2
celseq2_J19,H1975,celseq2,celseq2
celseq2_J2,H1975,celseq2,celseq2
celseq2_J20,H1975,celseq2,celseq2
celseq2_J21,H2228,celseq2,celseq2
celseq2_J22,HCC827,celseq2,celseq2
celseq2_J24,H2228,celseq2,celseq2
celseq2_J5,HCC827,celseq2,celseq2
celseq2_J7,HCC827,celseq2,celseq2
celseq2_J8,HCC827,celseq2,celseq2
celseq2_K10,HCC827,celseq2,celseq2
celseq2_K11,H1975,celseq2,celseq2
celseq2_K12,H2228,celseq2,celseq2
celseq2_K13,H2228,celseq2,celseq2
celseq2_K18,HCC827,celseq2,celseq2
celseq2_K20,HCC827,celseq2,celseq2
celseq2_K21,H1975,celseq2,celseq2
celseq2_K22,H1975,celseq2,celseq2
celseq2_K23,H1975,celseq2,celseq2
celseq2_K24,H1975,celseq2,celseq2
celseq2_K3,H1975,celseq2,celseq2
celseq2_K4,H1975,celseq2,celseq2
celseq2_K7,HCC827,celseq2,celseq2
celseq2_K8,H1975,celseq2,celseq2
celseq2_K9,H2228,celseq2,celseq2
celseq2_L1,H2228,celseq2,celseq2
celseq2_L12,HCC827,celseq2,celseq2
celseq2_L13,H2228,celseq2,celseq2
celseq2_L14,H1975,celseq2,celseq2
celseq2_L17,HCC827,celseq2,celseq2
celseq2_L18,H2228,celseq2,celseq2
celseq2_L19,H1975,celseq2,celseq2
celseq2_L2,H2228,celseq2,celseq2
celseq2_L20,H1975,celseq2,celseq2
celseq2_L22,H1975,celseq2,celseq2
celseq2_L23,HCC827,celseq2,celseq2
celseq2_L3,H2228,celseq2,celseq2
celseq2_L4,H2228,celseq2,celseq2
celseq2_L5,H2228,celseq2,celseq2
celseq2_L6,H1975,celseq2,celseq2
celseq2_L8,HCC827,celseq2,celseq2
celseq2_L9,H1975,celseq2,celseq2
celseq2_M11,H2228,celseq2,celseq2
celseq2_M12,HCC827,celseq2,celseq2
celseq2_M13,H2228,celseq2,celseq2
celseq2_M15,H2228,celseq2,celseq2
celseq2_M16,HCC827,celseq2,celseq2
celseq2_M20,HCC827,celseq2,celseq2
celseq2_M21,H1975,celseq2,celseq2
celseq2_M22,HCC827,celseq2,celseq2
celseq2_M24,H1975,celseq2,celseq2
celseq2_M4,HCC827,celseq2,celseq2
celseq2_M5,H1975,celseq2,celseq2
celseq2_M6,H1975,celseq2,celseq2
celseq2_M7,H1975,celseq2,celseq2
celseq2_M8,H2228,celseq2,celseq2
celseq2_M9,H1975,celseq2,celseq2
celseq2_N1,H2228,celseq2,celseq2
celseq2_N10,H2228,celseq2,celseq2
celseq2_N11,HCC827,celseq2,celseq2
celseq2_N13,H2228,celseq2,celseq2
celseq2_N17,HCC827,celseq2,celseq2
celseq2_N18,H1975,celseq2,celseq2
celseq2_N19,H2228,celseq2,celseq2
celseq2_N2,H2228,celseq2,celseq2
celseq2_N20,H1975,celseq2,celseq2
celseq2_N21,H2228,celseq2,celseq2
celseq2_N22,H1975,celseq2,celseq2
celseq2_N23,H1975,celseq2,celseq2
celseq2_N24,H1975,celseq2,celseq2
celseq2_N3,H1975,celseq2,celseq2
celseq2_N4,HCC827,celseq2,celseq2
celseq2_N5,HCC827,celseq2,celseq2
celseq2_N6,H1975,celseq2,celseq2
celseq2_N7,HCC827,celseq2,celseq2
celseq2_N8,H1975,celseq2,celseq2
celseq2_O10,H1975,celseq2,celseq2
celseq2_O11,HCC827,celseq2,celseq2
celseq2_O12,H2228,celseq2,celseq2
celseq2_O13,H2228,celseq2,celseq2
celseq2_O14,H1975,celseq2,celseq2
celseq2_O15,H1975,celseq2,celseq2
celseq2_O16,HCC827,celseq2,celseq2
celseq2_O17,H1975,celseq2,celseq2
celseq2_O18,H1975,celseq2,celseq2
celseq2_O20,H2228,celseq2,celseq2
celseq2_O21,H1975,celseq2,celseq2
celseq2_O24,H1975,celseq2,celseq2
celseq2_O5,HCC827,celseq2,celseq2
celseq2_O6,H1975,celseq2,celseq2
celseq2_O7,H2228,celseq2,celseq2
celseq2_O8,H2228,celseq2,celseq2
celseq2_P10,H1975,celseq2,celseq2
celseq2_P12,H2228,celseq2,celseq2
celseq2_P14,HCC827,celseq2,celseq2
celseq2_P15,H2228,celseq2,celseq2
celseq2_P16,HCC827,celseq2,celseq2
celseq2_P17,H1975,celseq2,celseq2
celseq2_P18,H1975,celseq2,celseq2
celseq2_P19,H1975,celseq2,celseq2
celseq2_P20,HCC827,celseq2,celseq2
celseq2_P22,HCC827,celseq2,celseq2
celseq2_P4,H1975,celseq2,celseq2
celseq2_P5,HCC827,celseq2,celseq2
celseq2_P6,H1975,celseq2,celseq2
celseq2_P7,H1975,celseq2,celseq2
celseq2_P8,H2228,celseq2,celseq2
celseq2_P9,H1975,celseq2,celseq2
dropseq_CELL_000001,H1975,dropseq,dropseq
dropseq_CELL_000002,HCC827,dropseq,dropseq
dropseq_CELL_000003,HCC827,dropseq,dropseq
dropseq_CELL_000004,HCC827,dropseq,dropseq
dropseq_CELL_000005,H1975,dropseq,dropseq
dropseq_CELL_000006,HCC827,dropseq,dropseq
dropseq_CELL_000007,H1975,dropseq,dropseq
dropseq_CELL_000008,H2228,dropseq,dropseq
dropseq_CELL_000009,H1975,dropseq,dropseq
dropseq_CELL_000010,HCC827,dropseq,dropseq
dropseq_CELL_000011,H1975,dropseq,dropseq
dropseq_CELL_000012,H1975,dropseq,dropseq
dropseq_CELL_000013,H2228,dropseq,dropseq
dropseq_CELL_000014,H1975,dropseq,dropseq
dropseq_CELL_000015,H1975,dropseq,dropseq
dropseq_CELL_000016,HCC827,dropseq,dropseq
dropseq_CELL_000017,HCC827,dropseq,dropseq
dropseq_CELL_000018,HCC827,dropseq,dropseq
dropseq_CELL_000019,H2228,dropseq,dropseq
dropseq_CELL_000020,H2228,dropseq,dropseq
dropseq_CELL_000021,HCC827,dropseq,dropseq
dropseq_CELL_000022,H2228,dropseq,dropseq
dropseq_CELL_000023,H1975,dropseq,dropseq
dropseq_CELL_000024,H1975,dropseq,dropseq
dropseq_CELL_000025,H1975,dropseq,dropseq
dropseq_CELL_000026,H2228,dropseq,dropseq
dropseq_CELL_000027,HCC827,dropseq,dropseq
dropseq_CELL_000028,H1975,dropseq,dropseq
dropseq_CELL_000029,H1975,dropseq,dropseq
dropseq_CELL_000030,H1975,dropseq,dropseq
dropseq_CELL_000031,H1975,dropseq,dropseq
dropseq_CELL_000032,HCC827,dropseq,dropseq
dropseq_CELL_000033,H2228,dropseq,dropseq
dropseq_CELL_000034,HCC827,dropseq,dropseq
dropseq_CELL_000035,H1975,dropseq,dropseq
dropseq_CELL_000036,H2228,dropseq,dropseq
dropseq_CELL_000037,H2228,dropseq,dropseq
dropseq_CELL_000038,HCC827,dropseq,dropseq
dropseq_CELL_000039,H1975,dropseq,dropseq
dropseq_CELL_000040,HCC827,dropseq,dropseq
dropseq_CELL_000041,H2228,dropseq,dropseq
dropseq_CELL_000042,H2228,dropseq,dropseq
dropseq_CELL_000043,H2228,dropseq,dropseq
dropseq_CELL_000044,H1975,dropseq,dropseq
dropseq_CELL_000045,H2228,dropseq,dropseq
dropseq_CELL_000046,HCC827,dropseq,dropseq
dropseq_CELL_000047,HCC827,dropseq,dropseq
dropseq_CELL_000048,HCC827,dropseq,dropseq
dropseq_CELL_000049,HCC827,dropseq,dropseq
dropseq_CELL_000050,H2228,dropseq,dropseq
dropseq_CELL_000051,H2228,dropseq,dropseq
dropseq_CELL_000053,HCC827,dropseq,dropseq
dropseq_CELL_000054,HCC827,dropseq,dropseq
dropseq_CELL_000055,H2228,dropseq,dropseq
dropseq_CELL_000056,H1975,dropseq,dropseq
dropseq_CELL_000057,H1975,dropseq,dropseq
dropseq_CELL_000058,H1975,dropseq,dropseq
dropseq_CELL_000059,HCC827,dropseq,dropseq
dropseq_CELL_000060,HCC827,dropseq,dropseq
dropseq_CELL_000061,H1975,dropseq,dropseq
dropseq_CELL_000062,H2228,dropseq,dropseq
dropseq_CELL_000063,H1975,dropseq,dropseq
dropseq_CELL_000064,H1975,dropseq,dropseq
dropseq_CELL_000065,HCC827,dropseq,dropseq
dropseq_CELL_000066,HCC827,dropseq,dropseq
dropseq_CELL_000067,HCC827,dropseq,dropseq
dropseq_CELL_000068,H2228,dropseq,dropseq
dropseq_CELL_000069,H2228,dropseq,dropseq
dropseq_CELL_000070,H1975,dropseq,dropseq
dropseq_CELL_000071,HCC827,dropseq,dropseq
dropseq_CELL_000072,H1975,dropseq,dropseq
dropseq_CELL_000073,H2228,dropseq,dropseq
dropseq_CELL_000074,H1975,dropseq,dropseq
dropseq_CELL_000075,H2228,dropseq,dropseq
dropseq_CELL_000076,H1975,dropseq,dropseq
dropseq_CELL_000077,H1975,dropseq,dropseq
dropseq_CELL_000078,H1975,dropseq,dropseq
dropseq_CELL_000079,HCC827,dropseq,dropseq
dropseq_CELL_000080,H1975,dropseq,dropseq
dropseq_CELL_000081,H2228,dropseq,dropseq
dropseq_CELL_000082,HCC827,dropseq,dropseq
dropseq_CELL_000083,HCC827,dropseq,dropseq
dropseq_CELL_000084,HCC827,dropseq,dropseq
dropseq_CELL_000085,HCC827,dropseq,dropseq
dropseq_CELL_000086,HCC827,dropseq,dropseq
dropseq_CELL_000087,H1975,dropseq,dropseq
dropseq_CELL_000088,HCC827,dropseq,dropseq
dropseq_CELL_000089,H1975,dropseq,dropseq
dropseq_CELL_000090,H1975,dropseq,dropseq
dropseq_CELL_000091,H2228,dropseq,dropseq
dropseq_CELL_000092,HCC827,dropseq,dropseq
dropseq_CELL_000093,HCC827,dropseq,dropseq
dropseq_CELL_000094,HCC827,dropseq,dropseq
dropseq_CELL_000095,HCC827,dropseq,dropseq
dropseq_CELL_000096,H1975,dropseq,dropseq
dropseq_CELL_000097,H2228,dropseq,dropseq
dropseq_CELL_000098,HCC827,dropseq,dropseq
dropseq_CELL_000099,H2228,dropseq,dropseq
dropseq_CELL_000100,HCC827,dropseq,dropseq
dropseq_CELL_000101,H2228,dropseq,dropseq
dropseq_CELL_000102,HCC827,dropseq,dropseq
dropseq_CELL_000103,H2228,dropseq,dropseq
dropseq_CELL_000104,HCC827,dropseq,dropseq
dropseq_CELL_000105,HCC827,dropseq,dropseq
dropseq_CELL_000106,H2228,dropseq,dropseq
dropseq_CELL_000108,HCC827,dropseq,dropseq
dropseq_CELL_000109,H2228,dropseq,dropseq
dropseq_CELL_000110,H1975,dropseq,dropseq
dropseq_CELL_000111,HCC827,dropseq,dropseq
dropseq_CELL_000112,HCC827,dropseq,dropseq
dropseq_CELL_000113,HCC827,dropseq,dropseq
dropseq_CELL_000114,H2228,dropseq,dropseq
dropseq_CELL_000115,HCC827,dropseq,dropseq
dropseq_CELL_000116,H1975,dropseq,dropseq
dropseq_CELL_000117,H1975,dropseq,dropseq
dropseq_CELL_000118,H2228,dropseq,dropseq
dropseq_CELL_000119,HCC827,dropseq,dropseq
dropseq_CELL_000120,H1975,dropseq,dropseq
dropseq_CELL_000121,H2228,dropseq,dropseq
dropseq_CELL_000122,H1975,dropseq,dropseq
dropseq_CELL_000123,H2228,dropseq,dropseq
dropseq_CELL_000124,H1975,dropseq,dropseq
dropseq_CELL_000125,H2228,dropseq,dropseq
dropseq_CELL_000126,H2228,dropseq,dropseq
dropseq_CELL_000127,H1975,dropseq,dropseq
dropseq_CELL_000128,H2228,dropseq,dropseq
dropseq_CELL_000129,H1975,dropseq,dropseq
dropseq_CELL_000130,HCC827,dropseq,dropseq
dropseq_CELL_000131,H2228,dropseq,dropseq
dropseq_CELL_000132,H2228,dropseq,dropseq
dropseq_CELL_000133,HCC827,dropseq,dropseq
dropseq_CELL_000134,HCC827,dropseq,dropseq
dropseq_CELL_000135,HCC827,dropseq,dropseq
