Cell,cell_type,batch
Cell6289,Group2,Batch3
Cell6290,Group2,Batch3
Cell6291,Group1,Batch3
Cell6292,Group7,Batch3
Cell6293,Group8,Batch3
Cell6294,Group7,Batch3
Cell6295,Group3,Batch3
Cell6296,Group1,Batch3
Cell6297,Group9,Batch3
Cell6298,Group10,Batch3
Cell6299,Group3,Batch3
Cell6300,Group5,Batch3
Cell6301,Group7,Batch3
Cell6302,Group2,Batch3
Cell6303,Group1,Batch3
Cell6304,Group8,Batch3
Cell6305,Group10,Batch3
Cell6306,Group1,Batch3
Cell6307,Group2,Batch3
Cell6308,Group2,Batch3
Cell6309,Group4,Batch3
Cell6310,Group5,Batch3
Cell6311,Group1,Batch3
Cell6312,Group2,Batch3
Cell6313,Group7,Batch3
Cell6314,Group6,Batch3
Cell6315,Group8,Batch3
Cell6316,Group10,Batch3
Cell6317,Group7,Batch3
Cell6318,Group10,Batch3
Cell6319,Group10,Batch3
Cell6320,Group5,Batch3
Cell6321,Group8,Batch3
Cell6322,Group8,Batch3
Cell6323,Group7,Batch3
Cell6324,Group3,Batch3
Cell6325,Group6,Batch3
Cell6326,Group6,Batch3
Cell6327,Group1,Batch3
Cell6328,Group3,Batch3
Cell6329,Group6,Batch3
Cell6330,Group4,Batch3
Cell6331,Group6,Batch3
Cell6332,Group7,Batch3
Cell6333,Group6,Batch3
Cell6334,Group9,Batch3
Cell6335,Group5,Batch3
Cell6336,Group5,Batch3
Cell6337,Group5,Batch3
Cell6338,Group3,Batch3
Cell6339,Group7,Batch3
Cell6340,Group8,Batch3
Cell6341,Group9,Batch3
Cell6342,Group2,Batch3
Cell6343,Group7,Batch3
Cell6344,Group1,Batch3
Cell6345,Group7,Batch3
Cell6346,Group1,Batch3
Cell6347,Group1,Batch3
Cell6348,Group10,Batch3
Cell6349,Group3,Batch3
Cell6350,Group3,Batch3
Cell6351,Group9,Batch3
Cell6352,Group1,Batch3
Cell6353,Group7,Batch3
Cell6354,Group6,Batch3
Cell6355,Group3,Batch3
Cell6356,Group5,Batch3
Cell6357,Group2,Batch3
Cell6358,Group4,Batch3
Cell6359,Group7,Batch3
Cell6360,Group2,Batch3
Cell6361,Group3,Batch3
Cell6362,Group9,Batch3
Cell6363,Group1,Batch3
Cell6364,Group3,Batch3
Cell6365,Group3,Batch3
Cell6366,Group3,Batch3
Cell6367,Group8,Batch3
Cell6368,Group2,Batch3
Cell6369,Group3,Batch3
Cell6370,Group1,Batch3
Cell6371,Group1,Batch3
Cell6372,Group3,Batch3
Cell6373,Group1,Batch3
Cell6374,Group8,Batch3
Cell6375,Group7,Batch3
Cell6376,Group2,Batch3
Cell6377,Group3,Batch3
Cell6378,Group6,Batch3
Cell6379,Group3,Batch3
Cell6380,Group3,Batch3
Cell6381,Group3,Batch3
Cell6382,Group2,Batch3
Cell6383,Group7,Batch3
Cell6384,Group2,Batch3
Cell6385,Group10,Batch3
Cell6386,Group10,Batch3
Cell6387,Group2,Batch3
Cell6388,Group1,Batch3
Cell6389,Group1,Batch3
Cell6390,Group8,Batch3
Cell6391,Group6,Batch3
Cell6392,Group4,Batch3
Cell6393,Group6,Batch3
Cell6394,Group9,Batch3
Cell6395,Group2,Batch3
Cell6396,Group3,Batch3
Cell6397,Group5,Batch3
Cell6398,Group5,Batch3
Cell6399,Group2,Batch3
Cell6400,Group7,Batch3
Cell6401,Group10,Batch3
Cell6402,Group6,Batch3
Cell6403,Group1,Batch3
Cell6404,Group1,Batch3
Cell6405,Group3,Batch3
Cell6406,Group3,Batch3
Cell6407,Group4,Batch3
Cell6408,Group7,Batch3
Cell6409,Group3,Batch3
Cell6410,Group7,Batch3
Cell6411,Group7,Batch3
Cell6412,Group6,Batch3
Cell6413,Group8,Batch3
Cell6414,Group10,Batch3
Cell6415,Group3,Batch3
Cell6416,Group10,Batch3
Cell6417,Group5,Batch3
Cell6418,Group1,Batch3
Cell6419,Group1,Batch3
Cell6420,Group8,Batch3
Cell6421,Group1,Batch3
Cell6422,Group3,Batch3
Cell6423,Group4,Batch3
Cell6424,Group10,Batch3
Cell6425,Group10,Batch3
Cell6426,Group6,Batch3
Cell6427,Group7,Batch3
Cell6428,Group10,Batch3
Cell6429,Group10,Batch3
Cell6430,Group6,Batch3
Cell6431,Group7,Batch3
Cell6432,Group9,Batch3
Cell6433,Group9,Batch3
Cell6434,Group5,Batch3
Cell6435,Group1,Batch3
Cell6436,Group5,Batch3
Cell6437,Group10,Batch3
Cell6438,Group3,Batch3
Cell6439,Group10,Batch3
Cell6440,Group3,Batch3
Cell6441,Group2,Batch3
Cell6442,Group1,Batch3
Cell6443,Group10,Batch3
Cell6444,Group4,Batch3
Cell6445,Group10,Batch3
Cell6446,Group1,Batch3
Cell6447,Group8,Batch3
Cell6448,Group9,Batch3
Cell6449,Group5,Batch3
Cell6450,Group10,Batch3
Cell6451,Group7,Batch3
Cell6452,Group7,Batch3
Cell6453,Group1,Batch3
Cell6454,Group6,Batch3
Cell6455,Group3,Batch3
Cell6456,Group2,Batch3
Cell6457,Group3,Batch3
Cell6458,Group7,Batch3
Cell6459,Group1,Batch3
Cell6460,Group8,Batch3
Cell6461,Group5,Batch3
Cell6462,Group1,Batch3
Cell6463,Group10,Batch3
Cell6464,Group2,Batch3
Cell6465,Group6,Batch3
Cell6466,Group1,Batch3
Cell6467,Group6,Batch3
Cell6468,Group8,Batch3
Cell6469,Group3,Batch3
Cell6470,Group1,Batch3
Cell6471,Group10,Batch3
Cell6472,Group7,Batch3
Cell6473,Group2,Batch3
Cell6474,Group7,Batch3
Cell6475,Group10,Batch3
Cell6476,Group4,Batch3
Cell6477,Group10,Batch3
Cell6478,Group9,Batch3
Cell6479,Group3,Batch3
Cell6480,Group9,Batch3
Cell6481,Group3,Batch3
Cell6482,Group1,Batch3
Cell6483,Group10,Batch3
Cell6484,Group6,Batch3
Cell6485,Group9,Batch3
Cell6486,Group1,Batch3
Cell6487,Group1,Batch3
Cell6488,Group1,Batch3
Cell6489,Group9,Batch3
Cell6490,Group1,Batch3
Cell6491,Group10,Batch3
Cell6492,Group8,Batch3
Cell6493,Group2,Batch3
Cell6494,Group5,Batch3
Cell6495,Group4,Batch3
Cell6496,Group10,Batch3
Cell6497,Group3,Batch3
Cell6498,Group7,Batch3
Cell6499,Group9,Batch3
Cell6500,Group1,Batch3
Cell6501,Group5,Batch3
Cell6502,Group8,Batch3
Cell6503,Group3,Batch3
Cell6504,Group5,Batch3
Cell6505,Group2,Batch3
Cell6506,Group6,Batch3
Cell6507,Group8,Batch3
Cell6508,Group8,Batch3
Cell6509,Group7,Batch3
Cell6510,Group1,Batch3
Cell6511,Group10,Batch3
Cell6512,Group8,Batch3
Cell6513,Group7,Batch3
Cell6514,Group6,Batch3
Cell6515,Group3,Batch3
Cell6516,Group6,Batch3
Cell6517,Group7,Batch3
Cell6518,Group2,Batch3
Cell6519,Group10,Batch3
Cell6520,Group2,Batch3
Cell6521,Group7,Batch3
Cell6522,Group7,Batch3
Cell6523,Group7,Batch3
Cell6524,Group1,Batch3
Cell6525,Group9,Batch3
Cell6526,Group6,Batch3
Cell6527,Group1,Batch3
Cell6528,Group3,Batch3
Cell6529,Group6,Batch3
Cell6530,Group9,Batch3
Cell6531,Group7,Batch3
Cell6532,Group6,Batch3
Cell6533,Group3,Batch3
Cell6534,Group2,Batch3
Cell6535,Group1,Batch3
Cell6536,Group8,Batch3
Cell6537,Group8,Batch3
Cell6538,Group2,Batch3
Cell6539,Group10,Batch3
Cell6540,Group8,Batch3
Cell6541,Group6,Batch3
Cell6542,Group1,Batch3
Cell6543,Group6,Batch3
Cell6544,Group1,Batch3
Cell6545,Group8,Batch3
Cell6546,Group7,Batch3
Cell6547,Group7,Batch3
Cell6548,Group10,Batch3
Cell6549,Group2,Batch3
Cell6550,Group8,Batch3
Cell6551,Group7,Batch3
Cell6552,Group7,Batch3
Cell6553,Group3,Batch3
Cell6554,Group8,Batch3
Cell6555,Group5,Batch3
Cell6556,Group10,Batch3
Cell6557,Group1,Batch3
Cell6558,Group3,Batch3
Cell6559,Group6,Batch3
Cell6560,Group6,Batch3
Cell6561,Group9,Batch3
Cell6562,Group5,Batch3
Cell6563,Group8,Batch3
Cell6564,Group3,Batch3
Cell6565,Group10,Batch3
Cell6566,Group9,Batch3
Cell6567,Group7,Batch3
Cell6568,Group8,Batch3
Cell6569,Group7,Batch3
Cell6570,Group10,Batch3
Cell6571,Group7,Batch3
Cell6572,Group7,Batch3
Cell6573,Group1,Batch3
Cell6574,Group8,Batch3
Cell6575,Group6,Batch3
Cell6576,Group5,Batch3
Cell6577,Group2,Batch3
Cell6578,Group7,Batch3
Cell6579,Group2,Batch3
Cell6580,Group8,Batch3
Cell6581,Group7,Batch3
Cell6582,Group7,Batch3
Cell6583,Group9,Batch3
Cell6584,Group6,Batch3
Cell6585,Group2,Batch3
Cell6586,Group6,Batch3
Cell6587,Group8,Batch3
Cell6588,Group6,Batch3
Cell6589,Group4,Batch3
Cell6590,Group10,Batch3
Cell6591,Group7,Batch3
Cell6592,Group7,Batch3
Cell6593,Group8,Batch3
Cell6594,Group6,Batch3
Cell6595,Group7,Batch3
Cell6596,Group6,Batch3
Cell6597,Group3,Batch3
Cell6598,Group7,Batch3
Cell6599,Group10,Batch3
Cell6600,Group10,Batch3
Cell6601,Group7,Batch3
Cell6602,Group2,Batch3
Cell6603,Group1,Batch3
Cell6604,Group8,Batch3
Cell6605,Group2,Batch3
Cell6606,Group3,Batch3
Cell6607,Group1,Batch3
Cell6608,Group7,Batch3
Cell6609,Group2,Batch3
Cell6610,Group1,Batch3
Cell6611,Group7,Batch3
Cell6612,Group6,Batch3
Cell6613,Group1,Batch3
Cell6614,Group6,Batch3
Cell6615,Group6,Batch3
Cell6616,Group1,Batch3
Cell6617,Group7,Batch3
Cell6618,Group2,Batch3
Cell6619,Group9,Batch3
Cell6620,Group8,Batch3
Cell6621,Group7,Batch3
Cell6622,Group2,Batch3
Cell6623,Group3,Batch3
Cell6624,Group7,Batch3
Cell6625,Group1,Batch3
Cell6626,Group6,Batch3
Cell6627,Group2,Batch3
Cell6628,Group7,Batch3
Cell6629,Group9,Batch3
Cell6630,Group5,Batch3
Cell6631,Group1,Batch3
Cell6632,Group7,Batch3
Cell6633,Group2,Batch3
Cell6634,Group10,Batch3
Cell6635,Group7,Batch3
Cell6636,Group5,Batch3
Cell6637,Group3,Batch3
Cell6638,Group1,Batch3
Cell6639,Group7,Batch3
Cell6640,Group1,Batch3
Cell6641,Group1,Batch3
Cell6642,Group4,Batch3
Cell6643,Group2,Batch3
Cell6644,Group5,Batch3
Cell6645,Group5,Batch3
Cell6646,Group1,Batch3
Cell6647,Group6,Batch3
Cell6648,Group8,Batch3
Cell6649,Group3,Batch3
Cell6650,Group8,Batch3
Cell6651,Group3,Batch3
Cell6652,Group7,Batch3
Cell6653,Group5,Batch3
Cell6654,Group10,Batch3
Cell6655,Group7,Batch3
Cell6656,Group2,Batch3
Cell6657,Group3,Batch3
Cell6658,Group2,Batch3
Cell6659,Group6,Batch3
Cell6660,Group1,Batch3
Cell6661,Group2,Batch3
Cell6662,Group9,Batch3
Cell6663,Group5,Batch3
Cell6664,Group1,Batch3
Cell6665,Group6,Batch3
Cell6666,Group2,Batch3
Cell6667,Group7,Batch3
Cell6668,Group8,Batch3
Cell6669,Group7,Batch3
Cell6670,Group10,Batch3
Cell6671,Group10,Batch3
Cell6672,Group1,Batch3
Cell6673,Group3,Batch3
Cell6674,Group7,Batch3
Cell6675,Group7,Batch3
Cell6676,Group1,Batch3
Cell6677,Group10,Batch3
Cell6678,Group3,Batch3
Cell6679,Group6,Batch3
Cell6680,Group7,Batch3
Cell6681,Group3,Batch3
Cell6682,Group3,Batch3
Cell6683,Group6,Batch3
Cell6684,Group7,Batch3
Cell6685,Group5,Batch3
Cell6686,Group2,Batch3
Cell6687,Group3,Batch3
Cell6688,Group2,Batch3
Cell6689,Group9,Batch3
Cell6690,Group1,Batch3
Cell6691,Group9,Batch3
Cell6692,Group1,Batch3
Cell6693,Group8,Batch3
Cell6694,Group8,Batch3
Cell6695,Group3,Batch3
Cell6696,Group8,Batch3
Cell6697,Group6,Batch3
Cell6698,Group9,Batch3
Cell6699,Group10,Batch3
Cell6700,Group2,Batch3
Cell6701,Group1,Batch3
Cell6702,Group3,Batch3
Cell6703,Group10,Batch3
Cell6704,Group5,Batch3
Cell6705,Group1,Batch3
Cell6706,Group7,Batch3
Cell6707,Group6,Batch3
Cell6708,Group2,Batch3
Cell6709,Group1,Batch3
Cell6710,Group1,Batch3
Cell6711,Group8,Batch3
Cell6712,Group4,Batch3
Cell6713,Group3,Batch3
Cell6714,Group8,Batch3
Cell6715,Group3,Batch3
Cell6716,Group3,Batch3
Cell6717,Group8,Batch3
Cell6718,Group1,Batch3
Cell6719,Group7,Batch3
Cell6720,Group3,Batch3
Cell6721,Group8,Batch3
Cell6722,Group3,Batch3
Cell6723,Group10,Batch3
Cell6724,Group1,Batch3
Cell6725,Group1,Batch3
Cell6726,Group7,Batch3
Cell6727,Group5,Batch3
Cell6728,Group6,Batch3
Cell6729,Group1,Batch3
Cell6730,Group10,Batch3
Cell6731,Group7,Batch3
Cell6732,Group9,Batch3
Cell6733,Group8,Batch3
Cell6734,Group7,Batch3
Cell6735,Group6,Batch3
Cell6736,Group3,Batch3
Cell6737,Group1,Batch3
Cell6738,Group3,Batch3
Cell6739,Group8,Batch3
Cell6740,Group1,Batch3
Cell6741,Group1,Batch3
Cell6742,Group7,Batch3
Cell6743,Group7,Batch3
Cell6744,Group6,Batch3
Cell6745,Group5,Batch3
Cell6746,Group1,Batch3
Cell6747,Group1,Batch3
Cell6748,Group1,Batch3
Cell6749,Group3,Batch3
Cell6750,Group10,Batch3
Cell6751,Group2,Batch3
Cell6752,Group4,Batch3
Cell6753,Group7,Batch3
Cell6754,Group5,Batch3
Cell6755,Group10,Batch3
Cell6756,Group10,Batch3
Cell6757,Group1,Batch3
Cell6758,Group2,Batch3
Cell6759,Group2,Batch3
Cell6760,Group9,Batch3
Cell6761,Group9,Batch3
Cell6762,Group7,Batch3
Cell6763,Group3,Batch3
Cell6764,Group5,Batch3
Cell6765,Group5,Batch3
Cell6766,Group2,Batch3
Cell6767,Group5,Batch3
Cell6768,Group2,Batch3
Cell6769,Group6,Batch3
Cell6770,Group5,Batch3
Cell6771,Group4,Batch3
Cell6772,Group9,Batch3
Cell6773,Group8,Batch3
Cell6774,Group1,Batch3
Cell6775,Group1,Batch3
Cell6776,Group10,Batch3
Cell6777,Group5,Batch3
Cell6778,Group6,Batch3
Cell6779,Group10,Batch3
Cell6780,Group2,Batch3
Cell6781,Group10,Batch3
Cell6782,Group8,Batch3
Cell6783,Group7,Batch3
Cell6784,Group1,Batch3
Cell6785,Group2,Batch3
Cell6786,Group5,Batch3
Cell6787,Group6,Batch3
Cell6788,Group9,Batch3
Cell6789,Group7,Batch3
Cell6790,Group8,Batch3
Cell6791,Group5,Batch3
Cell6792,Group3,Batch3
Cell6793,Group7,Batch3
Cell6794,Group1,Batch3
Cell6795,Group2,Batch3
Cell6796,Group3,Batch3
Cell6797,Group1,Batch3
Cell6798,Group1,Batch3
Cell6799,Group8,Batch3
Cell6800,Group2,Batch3
Cell6801,Group1,Batch3
Cell6802,Group4,Batch3
Cell6803,Group7,Batch3
Cell6804,Group10,Batch3
Cell6805,Group6,Batch3
Cell6806,Group6,Batch3
Cell6807,Group8,Batch3
Cell6808,Group2,Batch3
Cell6809,Group5,Batch3
Cell6810,Group7,Batch3
Cell6811,Group1,Batch3
Cell6812,Group2,Batch3
Cell6813,Group6,Batch3
Cell6814,Group4,Batch3
Cell6815,Group7,Batch3
Cell6816,Group7,Batch3
Cell6817,Group1,Batch3
Cell6818,Group2,Batch3
Cell6819,Group2,Batch3
Cell6820,Group1,Batch3
Cell6821,Group2,Batch3
Cell6822,Group3,Batch3
Cell6823,Group2,Batch3
Cell6824,Group7,Batch3
Cell6825,Group1,Batch3
Cell6826,Group10,Batch3
Cell6827,Group7,Batch3
Cell6828,Group7,Batch3
Cell6829,Group6,Batch3
Cell6830,Group4,Batch3
Cell6831,Group1,Batch3
Cell6832,Group10,Batch3
Cell6833,Group6,Batch3
Cell6834,Group2,Batch3
Cell6835,Group4,Batch3
Cell6836,Group1,Batch3
Cell6837,Group3,Batch3
Cell6838,Group2,Batch3
Cell6839,Group4,Batch3
Cell6840,Group1,Batch3
Cell6841,Group5,Batch3
Cell6842,Group7,Batch3
Cell6843,Group1,Batch3
Cell6844,Group3,Batch3
Cell6845,Group8,Batch3
Cell6846,Group1,Batch3
Cell6847,Group5,Batch3
Cell6848,Group7,Batch3
Cell6849,Group8,Batch3
Cell6850,Group7,Batch3
Cell6851,Group2,Batch3
Cell6852,Group4,Batch3
Cell6853,Group5,Batch3
Cell6854,Group6,Batch3
Cell6855,Group8,Batch3
Cell6856,Group1,Batch3
Cell6857,Group1,Batch3
Cell6858,Group3,Batch3
Cell6859,Group2,Batch3
Cell6860,Group3,Batch3
Cell6861,Group2,Batch3
Cell6862,Group5,Batch3
Cell6863,Group5,Batch3
Cell6864,Group6,Batch3
Cell6865,Group7,Batch3
Cell6866,Group7,Batch3
Cell6867,Group1,Batch3
Cell6868,Group9,Batch3
Cell6869,Group5,Batch3
Cell6870,Group7,Batch3
Cell6871,Group10,Batch3
Cell6872,Group3,Batch3
Cell6873,Group8,Batch3
Cell6874,Group1,Batch3
Cell6875,Group3,Batch3
Cell6876,Group4,Batch3
Cell6877,Group7,Batch3
Cell6878,Group2,Batch3
Cell6879,Group1,Batch3
Cell6880,Group2,Batch3
Cell6881,Group7,Batch3
Cell6882,Group10,Batch3
Cell6883,Group3,Batch3
Cell6884,Group6,Batch3
Cell6885,Group2,Batch3
Cell6886,Group3,Batch3
Cell6887,Group8,Batch3
Cell6888,Group3,Batch3
Cell6889,Group8,Batch3
Cell6890,Group7,Batch3
Cell6891,Group6,Batch3
Cell6892,Group1,Batch3
Cell6893,Group2,Batch3
Cell6894,Group8,Batch3
Cell6895,Group1,Batch3
Cell6896,Group4,Batch3
Cell6897,Group9,Batch3
Cell6898,Group3,Batch3
Cell6899,Group7,Batch3
Cell6900,Group1,Batch3
Cell6901,Group6,Batch3
Cell6902,Group6,Batch3
Cell6903,Group8,Batch3
Cell6904,Group5,Batch3
Cell6905,Group1,Batch3
Cell6906,Group8,Batch3
Cell6907,Group10,Batch3
Cell6908,Group6,Batch3
Cell6909,Group5,Batch3
Cell6910,Group1,Batch3
Cell6911,Group2,Batch3
Cell6912,Group1,Batch3
Cell6913,Group7,Batch3
Cell6914,Group10,Batch3
Cell6915,Group2,Batch3
Cell6916,Group1,Batch3
Cell6917,Group1,Batch3
Cell6918,Group5,Batch3
Cell6919,Group7,Batch3
Cell6920,Group6,Batch3
Cell6921,Group10,Batch3
Cell6922,Group8,Batch3
Cell6923,Group2,Batch3
Cell6924,Group7,Batch3
Cell6925,Group7,Batch3
Cell6926,Group7,Batch3
Cell6927,Group2,Batch3
Cell6928,Group1,Batch3
Cell6929,Group1,Batch3
Cell6930,Group2,Batch3
Cell6931,Group6,Batch3
Cell6932,Group10,Batch3
Cell6933,Group6,Batch3
Cell6934,Group10,Batch3
Cell6935,Group6,Batch3
Cell6936,Group3,Batch3
Cell6937,Group5,Batch3
Cell6938,Group10,Batch3
Cell6939,Group4,Batch3
Cell6940,Group6,Batch3
Cell6941,Group10,Batch3
Cell6942,Group7,Batch3
Cell6943,Group7,Batch3
Cell6944,Group9,Batch3
Cell6945,Group2,Batch3
Cell6946,Group1,Batch3
Cell6947,Group10,Batch3
Cell6948,Group1,Batch3
Cell6949,Group1,Batch3
Cell6950,Group10,Batch3
Cell6951,Group1,Batch3
Cell6952,Group7,Batch3
Cell6953,Group2,Batch3
Cell6954,Group2,Batch3
Cell6955,Group3,Batch3
Cell6956,Group5,Batch3
Cell6957,Group7,Batch3
Cell6958,Group5,Batch3
Cell6959,Group1,Batch3
Cell6960,Group7,Batch3
Cell6961,Group6,Batch3
Cell6962,Group6,Batch3
Cell6963,Group2,Batch3
Cell6964,Group2,Batch3
Cell6965,Group1,Batch3
Cell6966,Group7,Batch3
Cell6967,Group4,Batch3
Cell6968,Group5,Batch3
Cell6969,Group10,Batch3
Cell6970,Group2,Batch3
Cell6971,Group3,Batch3
Cell6972,Group3,Batch3
Cell6973,Group3,Batch3
Cell6974,Group5,Batch3
Cell6975,Group7,Batch3
Cell6976,Group2,Batch3
Cell6977,Group5,Batch3
Cell6978,Group7,Batch3
Cell6979,Group6,Batch3
Cell6980,Group1,Batch3
Cell6981,Group9,Batch3
Cell6982,Group7,Batch3
Cell6983,Group6,Batch3
Cell6984,Group8,Batch3
Cell6985,Group1,Batch3
Cell6986,Group7,Batch3
Cell6987,Group1,Batch3
Cell6988,Group1,Batch3
Cell6989,Group1,Batch3
Cell6990,Group10,Batch3
Cell6991,Group6,Batch3
Cell6992,Group10,Batch3
Cell6993,Group1,Batch3
Cell6994,Group2,Batch3
Cell6995,Group7,Batch3
Cell6996,Group9,Batch3
Cell6997,Group1,Batch3
Cell6998,Group1,Batch3
Cell6999,Group6,Batch3
Cell7000,Group10,Batch3
Cell7001,Group7,Batch4
Cell7002,Group10,Batch4
Cell7003,Group1,Batch4
Cell7004,Group8,Batch4
Cell7005,Group7,Batch4
Cell7006,Group9,Batch4
Cell7007,Group7,Batch4
Cell7008,Group10,Batch4
Cell7009,Group9,Batch4
Cell7010,Group2,Batch4
Cell7011,Group7,Batch4
Cell7012,Group1,Batch4
Cell7013,Group2,Batch4
Cell7014,Group7,Batch4
Cell7015,Group1,Batch4
Cell7016,Group6,Batch4
Cell7017,Group6,Batch4
Cell7018,Group2,Batch4
Cell7019,Group2,Batch4
Cell7020,Group1,Batch4
Cell7021,Group1,Batch4
Cell7022,Group6,Batch4
Cell7023,Group5,Batch4
Cell7024,Group2,Batch4
Cell7025,Group10,Batch4
Cell7026,Group5,Batch4
Cell7027,Group2,Batch4
Cell7028,Group6,Batch4
Cell7029,Group3,Batch4
Cell7030,Group7,Batch4
Cell7031,Group6,Batch4
Cell7032,Group7,Batch4
Cell7033,Group8,Batch4
Cell7034,Group7,Batch4
Cell7035,Group8,Batch4
Cell7036,Group6,Batch4
Cell7037,Group1,Batch4
Cell7038,Group1,Batch4
Cell7039,Group7,Batch4
Cell7040,Group2,Batch4
Cell7041,Group10,Batch4
Cell7042,Group1,Batch4
Cell7043,Group5,Batch4
Cell7044,Group5,Batch4
Cell7045,Group9,Batch4
Cell7046,Group3,Batch4
Cell7047,Group1,Batch4
Cell7048,Group8,Batch4
Cell7049,Group8,Batch4
Cell7050,Group6,Batch4
Cell7051,Group1,Batch4
Cell7052,Group8,Batch4
Cell7053,Group4,Batch4
Cell7054,Group2,Batch4
Cell7055,Group7,Batch4
Cell7056,Group3,Batch4
Cell7057,Group2,Batch4
Cell7058,Group4,Batch4
Cell7059,Group6,Batch4
Cell7060,Group2,Batch4
Cell7061,Group6,Batch4
Cell7062,Group10,Batch4
Cell7063,Group1,Batch4
Cell7064,Group6,Batch4
Cell7065,Group5,Batch4
Cell7066,Group1,Batch4
Cell7067,Group9,Batch4
Cell7068,Group8,Batch4
Cell7069,Group9,Batch4
Cell7070,Group5,Batch4
Cell7071,Group1,Batch4
Cell7072,Group6,Batch4
Cell7073,Group10,Batch4
Cell7074,Group3,Batch4
Cell7075,Group7,Batch4
Cell7076,Group10,Batch4
Cell7077,Group10,Batch4
Cell7078,Group7,Batch4
Cell7079,Group6,Batch4
Cell7080,Group3,Batch4
Cell7081,Group2,Batch4
Cell7082,Group3,Batch4
Cell7083,Group2,Batch4
Cell7084,Group2,Batch4
Cell7085,Group10,Batch4
Cell7086,Group3,Batch4
Cell7087,Group2,Batch4
Cell7088,Group2,Batch4
Cell7089,Group6,Batch4
Cell7090,Group1,Batch4
Cell7091,Group2,Batch4
Cell7092,Group6,Batch4
Cell7093,Group8,Batch4
Cell7094,Group7,Batch4
Cell7095,Group5,Batch4
Cell7096,Group7,Batch4
Cell7097,Group1,Batch4
Cell7098,Group3,Batch4
Cell7099,Group8,Batch4
Cell7100,Group3,Batch4
Cell7101,Group3,Batch4
Cell7102,Group7,Batch4
Cell7103,Group7,Batch4
Cell7104,Group1,Batch4
Cell7105,Group7,Batch4
Cell7106,Group9,Batch4
Cell7107,Group8,Batch4
Cell7108,Group2,Batch4
Cell7109,Group1,Batch4
Cell7110,Group1,Batch4
Cell7111,Group9,Batch4
Cell7112,Group3,Batch4
Cell7113,Group7,Batch4
Cell7114,Group6,Batch4
Cell7115,Group5,Batch4
Cell7116,Group3,Batch4
Cell7117,Group4,Batch4
Cell7118,Group2,Batch4
Cell7119,Group8,Batch4
Cell7120,Group1,Batch4
Cell7121,Group3,Batch4
Cell7122,Group7,Batch4
Cell7123,Group1,Batch4
Cell7124,Group8,Batch4
Cell7125,Group2,Batch4
Cell7126,Group8,Batch4
Cell7127,Group5,Batch4
Cell7128,Group6,Batch4
Cell7129,Group10,Batch4
Cell7130,Group7,Batch4
Cell7131,Group5,Batch4
Cell7132,Group10,Batch4
Cell7133,Group1,Batch4
Cell7134,Group6,Batch4
Cell7135,Group1,Batch4
Cell7136,Group1,Batch4
Cell7137,Group5,Batch4
Cell7138,Group1,Batch4
Cell7139,Group9,Batch4
Cell7140,Group7,Batch4
Cell7141,Group3,Batch4
Cell7142,Group10,Batch4
Cell7143,Group3,Batch4
Cell7144,Group7,Batch4
Cell7145,Group4,Batch4
Cell7146,Group2,Batch4
Cell7147,Group2,Batch4
Cell7148,Group6,Batch4
Cell7149,Group2,Batch4
Cell7150,Group1,Batch4
Cell7151,Group9,Batch4
Cell7152,Group6,Batch4
Cell7153,Group10,Batch4
Cell7154,Group5,Batch4
Cell7155,Group1,Batch4
Cell7156,Group9,Batch4
Cell7157,Group7,Batch4
Cell7158,Group5,Batch4
Cell7159,Group8,Batch4
Cell7160,Group1,Batch4
Cell7161,Group10,Batch4
Cell7162,Group10,Batch4
Cell7163,Group5,Batch4
Cell7164,Group2,Batch4
Cell7165,Group1,Batch4
Cell7166,Group10,Batch4
Cell7167,Group2,Batch4
Cell7168,Group3,Batch4
Cell7169,Group1,Batch4
Cell7170,Group7,Batch4
Cell7171,Group7,Batch4
Cell7172,Group1,Batch4
Cell7173,Group3,Batch4
Cell7174,Group1,Batch4
Cell7175,Group7,Batch4
Cell7176,Group5,Batch4
Cell7177,Group10,Batch4
Cell7178,Group10,Batch4
Cell7179,Group8,Batch4
Cell7180,Group1,Batch4
Cell7181,Group2,Batch4
Cell7182,Group2,Batch4
Cell7183,Group5,Batch4
Cell7184,Group5,Batch4
Cell7185,Group7,Batch4
Cell7186,Group2,Batch4
Cell7187,Group4,Batch4
Cell7188,Group6,Batch4
Cell7189,Group10,Batch4
Cell7190,Group4,Batch4
Cell7191,Group4,Batch4
Cell7192,Group5,Batch4
Cell7193,Group5,Batch4
Cell7194,Group4,Batch4
Cell7195,Group10,Batch4
Cell7196,Group8,Batch4
Cell7197,Group7,Batch4
Cell7198,Group1,Batch4
Cell7199,Group2,Batch4
Cell7200,Group10,Batch4
Cell7201,Group7,Batch4
Cell7202,Group2,Batch4
Cell7203,Group3,Batch4
Cell7204,Group5,Batch4
Cell7205,Group10,Batch4
Cell7206,Group6,Batch4
Cell7207,Group3,Batch4
Cell7208,Group9,Batch4
Cell7209,Group7,Batch4
Cell7210,Group5,Batch4
Cell7211,Group10,Batch4
Cell7212,Group7,Batch4
Cell7213,Group1,Batch4
Cell7214,Group1,Batch4
Cell7215,Group7,Batch4
Cell7216,Group8,Batch4
Cell7217,Group7,Batch4
Cell7218,Group9,Batch4
Cell7219,Group7,Batch4
Cell7220,Group5,Batch4
